City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chonchi,-42.6128,-73.8092,282.71,96,60,1.22,CL,1702088131
1,manacapuru,-3.2997,-60.6206,299.04,88,74,1.18,BR,1702087934
2,lihue,21.9789,-159.3672,299.73,78,100,2.57,US,1702088077
3,avarua,-21.2078,-159.775,299.18,73,75,6.69,CK,1702088133
4,iquitos,-3.7481,-73.2472,298.17,88,100,2.06,PE,1702088134
5,ust-nera,64.5667,143.2,247.7,98,90,1.22,RU,1702088089
6,waitangi,-43.9535,-176.5597,289.16,71,6,1.79,NZ,1702088135
7,moyynkum,44.2914,72.9469,273.51,50,100,1.35,KZ,1702088135
8,kimbe,-5.5502,150.1429,302.46,74,100,2.3,PG,1702088073
9,wailua homesteads,22.0669,-159.378,299.39,81,100,2.57,US,1702088136
10,west island,-12.1568,96.8225,301.14,78,40,7.72,CC,1702088136
11,badger,64.8,-147.5333,254.16,82,75,2.06,US,1702088137
12,taoudenni,22.6783,-3.9836,292.73,31,100,5.12,ML,1702088137
13,waingapu,-9.6567,120.2641,303.27,69,100,1.95,ID,1702088138
14,san luis de la loma,17.2706,-100.8939,298.44,80,59,2.12,MX,1702088078
15,pacific grove,36.6177,-121.9166,284.97,76,0,2.06,US,1702088139
16,tiruchchendur,8.4833,78.1167,299.31,79,73,3.12,IN,1702088140
17,sakakah,29.9697,40.2064,290.91,70,39,7.99,SA,1702088140
18,bilibino,68.0546,166.4372,245.95,95,100,1.51,RU,1702088141
19,qui nhon,13.7667,109.2333,297.38,84,80,1.61,VN,1702088141
20,keflavik,64.0049,-22.5624,272.39,80,0,4.63,IS,1702088142
21,palikir - national government center,6.9248,158.1611,304.62,70,75,5.14,FM,1702088142
22,thompson,55.7435,-97.8558,264.24,92,100,2.57,CA,1702088143
23,hawaiian paradise park,19.5933,-154.9731,297.52,83,0,2.06,US,1702088139
24,sola,-13.8833,167.55,299.72,80,100,6.91,VU,1702088144
25,bethel,41.3712,-73.414,280.67,79,100,2.57,US,1702088144
26,grytviken,-54.2811,-36.5092,271.15,84,15,4.8,GS,1702088145
27,ribeira grande,38.5167,-28.7,291.91,92,66,4.92,PT,1702088145
28,albany,42.6001,-73.9662,274.0,92,70,0.89,US,1702088146
29,petropavlovsk-kamchatsky,53.0452,158.6483,273.48,76,20,8.49,RU,1702088146
30,kenora,49.8167,-94.4337,274.69,100,100,3.09,CA,1702088147
31,adamstown,-25.066,-130.1015,295.84,73,100,1.94,PN,1702088147
32,suva,-18.1416,178.4415,300.86,78,75,4.12,FJ,1702088148
33,port-aux-francais,-49.35,70.2167,276.94,76,79,13.97,TF,1702088148
34,atafu village,-8.5421,-172.5159,301.02,78,100,5.9,TK,1702088148
35,mount pearl,47.5166,-52.7813,274.9,87,100,3.58,CA,1702088149
36,tres barras,-26.1064,-50.3222,289.1,95,100,2.47,BR,1702087969
37,kumi,36.1136,128.336,288.97,77,100,0.99,KR,1702088150
38,tiksi,71.6872,128.8694,242.68,100,100,2.09,RU,1702088048
39,olonkinbyen,70.9221,-8.7187,270.76,76,100,4.11,SJ,1702088151
40,margaret river,-33.95,115.0667,293.0,35,6,3.75,AU,1702088151
41,springbok,-29.6643,17.8865,286.13,62,13,1.85,ZA,1702088152
42,blackmans bay,-43.0167,147.3167,287.33,66,95,4.65,AU,1702088152
43,laguna,38.421,-121.4238,284.42,60,0,3.6,US,1702088153
44,lubao,14.9167,120.55,303.99,63,4,2.56,PH,1702088153
45,balneario camboriu,-26.9906,-48.6347,295.36,71,100,3.6,BR,1702088154
46,qaqortoq,60.7167,-46.0333,273.8,64,100,5.02,GL,1702088154
47,mamadysh,55.7152,51.408,243.75,100,43,1.31,RU,1702088154
48,iqaluit,63.7506,-68.5145,254.09,77,0,2.57,CA,1702088155
49,balashov,51.5502,43.1667,263.86,83,100,6.34,RU,1702088155
50,monetnyy,57.0472,60.8794,247.32,97,17,1.7,RU,1702088156
51,talcahuano,-36.7167,-73.1167,285.97,76,0,6.69,CL,1702088156
52,puerto natales,-51.7236,-72.4875,281.45,84,89,2.98,CL,1702088157
53,purranque,-40.9167,-73.1667,284.78,86,10,2.1,CL,1702088157
54,nago,26.5881,127.9761,298.62,62,25,4.11,JP,1702088158
55,ilulissat,69.2167,-51.1,263.16,67,63,1.03,GL,1702088158
56,kontiolahti,62.7602,29.8471,254.12,84,0,2.06,FI,1702088158
57,praia,14.9215,-23.5087,297.45,73,20,7.72,CV,1702088124
58,cartagena,10.3997,-75.5144,299.94,89,0,2.57,CO,1702087804
59,udachny,66.4167,112.4,240.62,74,100,2.72,RU,1702088070
60,timimoun,29.2639,0.231,290.39,34,5,4.04,DZ,1702088160
61,amahai,-3.3333,128.9167,303.19,68,78,0.99,ID,1702088161
62,port elizabeth,-33.918,25.5701,291.54,88,75,2.57,ZA,1702088161
63,ushuaia,-54.8,-68.3,280.96,87,75,5.14,AR,1702088161
64,hamilton,39.1834,-84.5333,288.58,52,100,4.63,US,1702088007
65,kolasib,24.2333,92.7,291.36,99,100,0.81,IN,1702088162
66,nemuro,43.3236,145.575,281.26,87,52,5.96,JP,1702088163
67,pirallahi,40.4723,50.333,281.23,68,100,6.51,AZ,1702088163
68,binkolo,8.9533,-11.9779,296.42,86,0,0.76,SL,1702088164
69,severo-yeniseyskiy,60.3725,93.0408,244.03,99,99,0.89,RU,1702088165
70,monroeville,40.4212,-79.7881,284.09,59,9,1.99,US,1702087904
71,yellowknife,62.456,-114.3525,249.37,99,65,2.14,CA,1702088069
72,jiwani,25.05,61.7417,295.84,52,8,1.8,PK,1702088166
73,college,64.8569,-147.8028,254.21,81,100,2.06,US,1702088167
74,newport,51.5877,-2.9984,282.45,91,100,6.05,GB,1702088084
75,maragogi,-9.0122,-35.2225,298.4,87,96,4.08,BR,1702088168
76,san patricio,28.017,-97.5169,295.84,88,0,5.16,US,1702088168
77,kurchum,48.5722,83.6542,258.2,85,95,2.83,KZ,1702088169
78,primero de mayo,-32.2552,-58.4228,291.38,68,0,3.87,AR,1702088169
79,riohacha,11.5444,-72.9072,299.72,78,7,5.66,CO,1702088170
80,kodiak,57.79,-152.4072,270.88,64,100,1.54,US,1702088171
81,port sudan,19.6175,37.2164,299.34,72,100,2.18,SD,1702088171
82,linxia chengguanzhen,35.6003,103.2064,279.09,23,1,0.06,CN,1702088172
83,ponta delgada,37.7333,-25.6667,292.55,94,75,8.23,PT,1702088157
84,urangan,-25.3,152.9,302.15,60,3,3.58,AU,1702088173
85,merizo village,13.2658,144.6691,304.46,80,63,7.93,GU,1702088173
86,poxoreo,-15.8372,-54.3892,297.71,82,99,1.01,BR,1702088174
87,tromso,69.6496,18.957,271.16,59,100,9.77,NO,1702088174
88,dawei,14.0833,98.2,301.11,67,6,0.76,MM,1702088175
89,baker city,44.7749,-117.8344,272.14,88,20,2.06,US,1702088175
90,pavlovka,52.6897,47.1405,251.26,99,100,2.65,RU,1702088176
91,invercargill,-46.4,168.35,290.2,55,100,8.51,NZ,1702088176
92,namibe,-15.1961,12.1522,295.84,83,100,1.56,AO,1702088177
93,anadyr,64.75,177.4833,247.43,76,0,5.0,RU,1702088177
94,praia da vitoria,38.7333,-27.0667,291.35,94,40,2.93,PT,1702088178
95,hadibu,12.65,54.0333,297.86,73,32,4.79,YE,1702088178
96,maputo,-25.9653,32.5892,296.97,88,20,1.54,MZ,1702088162
